01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
156.0,pangere,"to make, compose, write",essay,sing,,essay,,essay,"['essay', 'sing', 0, 'essay', 0, 'essay']",4.0,2.0
173.0,aeternum,eternal,,immortal,immortal,everliving,immortal,,"[0, 'immortal', 'immortal', 'everliving', 'immortal', 0]",4.0,2.0
202.0,moenera,,,tumults,,works,works,works,"[0, 'tumults', 0, 'works', 'works', 'works']",4.0,2.0
228.0,te,you (acc),,thy,,thee,thee,thee,"[0, 'thy', 0, 'thee', 'thee', 'thee']",4.0,2.0
236.0,ore,mouth,,lips,mouth,,lips,lips,"[0, 'lips', 'mouth', 0, 'lips', 'lips']",4.0,2.0
245.0,fusa,"to pour out, to shed | | round, spindle, spinning wheel ?",,,pour,shed,pour,pour,"[0, 0, 'pour', 'shed', 'pour', 'pour']",4.0,2.0
11.0,signa,mark,signs,signs,signs,signs,,stars,"['signs', 'signs', 'signs', 'signs', 0, 'stars']",5.0,2.0
13.0,mare,sea,seas,sea,seas,sea,,sea,"['seas', 'sea', 'seas', 'sea', 0, 'sea']",5.0,2.0
19.0,per,across,by,by,through,through,through,,"['by', 'by', 'through', 'through', 'through', 0]",5.0,2.0
28.0,lumina,light,light,beams,light,light,,light,"['light', 'beams', 'light', 'light', 0, 'light']",5.0,2.0
53.0,lumine,"light (sg, abl)",,light,light,light,radiance,light,"[0, 'light', 'light', 'light', 'radiance', 'light']",5.0,2.0
73.0,tuumque,you / yours (adj sg neut voc),thine,,thy,thy,thy,thine,"['thine', 0, 'thy', 'thy', 'thy', 'thine']",5.0,2.0
75.0,initum,"to go into, enter",approach,,approach,entering,approach,approach,"['approach', 0, 'approach', 'entering', 'approach', 'approach']",5.0,2.0
93.0,te,yours,thy,thy,thy,thy,thee,,"['thy', 'thy', 'thy', 'thy', 'thee', 0]",5.0,2.0
94.0,sequitur,follows,,follow,follow,follows,follow,follows,"[0, 'follow', 'follow', 'follows', 'follow', 'follows']",5.0,2.0
95.0,cupide,"eagerly, passionately",eager,desire,eager,desire,,desire,"['eager', 'desire', 'eager', 'desire', 0, 'desire']",5.0,2.0
197.0,iuvare,help,,bless,bless,bless,aid,bless,"[0, 'bless', 'bless', 'bless', 'aid', 'bless']",5.0,2.0
209.0,saepe,often,oft,,oft,often,often,oft,"['oft', 0, 'oft', 'often', 'often', 'oft']",5.0,2.0
225.0,avidos,"greedy, avid",greedy,greedily,,greedy,greedy,greedy,"['greedy', 'greedily', 0, 'greedy', 'greedy', 'greedy']",5.0,2.0
268.0,nec,not,,nor,Nor,nor,nor,nor,"[0, 'nor', 'Nor', 'nor', 'nor', 'nor']",5.0,2.0
2.0,genetrix,mother,parent,mother,mother,mother,mother,mother,"['parent', 'mother', 'mother', 'mother', 'mother', 'mother']",6.0,2.0
8.0,caeli,celestial,heaven,heaven,heaven,heaven,stars,heaven,"['heaven', 'heaven', 'heaven', 'heaven', 'stars', 'heaven']",6.0,2.0
9.0,subter,underneath,under,beneath,beneath,beneath,beneath,beneath,"['under', 'beneath', 'beneath', 'beneath', 'beneath', 'beneath']",6.0,2.0
20.0,te,you (acc),thee,thee,thy,thee,thee,thee,"['thee', 'thee', 'thy', 'thee', 'thee', 'thee']",6.0,2.0
21.0,quoniam, since then / because,since,for,since,since,for,for,"['since', 'for', 'since', 'since', 'for', 'for']",6.0,2.0
23.0,omne,"all, every",all,every,all,every,all,every,"['all', 'every', 'all', 'every', 'all', 'every']",6.0,2.0
24.0,animantum,,living,creatures,living,living,living,living,"['living', 'creatures', 'living', 'living', 'living', 'living']",6.0,2.0
34.0,venti,winds // ? to come (gen/voc),winds,winds,winds,winds,wind,winds,"['winds', 'winds', 'winds', 'winds', 'wind', 'winds']",6.0,2.0
36.0,nubila,clouds,clouds,clouds,clouds,clouds,cloud,clouds,"['clouds', 'clouds', 'clouds', 'clouds', 'cloud', 'clouds']",6.0,2.0
39.0,tuum,yours (acc),thou,thy,thy,thy,thy,thy,"['thou', 'thy', 'thy', 'thy', 'thy', 'thy']",6.0,2.0
46.0,tibi,"you (fem, dat)",thy,thee,thy,thee,thee,thee,"['thy', 'thee', 'thy', 'thee', 'thee', 'thee']",6.0,2.0
56.0,simul,"at the same time, together, at once",when,when,soon,soon,soon,when,"['when', 'when', 'soon', 'soon', 'soon', 'when']",6.0,2.0
70.0,volucris,  birds (noun pl fem acc),birds,birds,birds,fowls,fowls,birds,"['birds', 'birds', 'birds', 'fowls', 'fowls', 'birds']",6.0,2.0
88.0,tranant,"to swim over, swim across,",take,swim,swim,swim,swim,swim,"['take', 'swim', 'swim', 'swim', 'swim', 'swim']",6.0,2.0
98.0,inducere,"introduce, lead",leads,lead,leads,lead,lead,lead,"['leads', 'lead', 'leads', 'lead', 'lead', 'lead']",6.0,2.0
104.0,montis,mountain,hills,mountains,mountains,mountains,mountains,mountains,"['hills', 'mountains', 'mountains', 'mountains', 'mountains', 'mountains']",6.0,2.0
107.0,frondiferasque,leafy,leafie,leafy,leafy,leafy,leafy,leafy,"['leafie', 'leafy', 'leafy', 'leafy', 'leafy', 'leafy']",6.0,2.0
110.0,camposque,plains,field,plains,plains,plains,plains,plains,"['field', 'plains', 'plains', 'plains', 'plains', 'plains']",6.0,2.0
112.0,omnibus,everybody,every,every,every,all,every,all,"['every', 'every', 'every', 'all', 'every', 'all']",6.0,2.0
117.0,amorem,love,flames,love,love,love,love,love,"['flames', 'love', 'love', 'love', 'love', 'love']",6.0,2.0
